index,order_id,customer_id,customer_unique_id,customer_city,customer_state,order_purchase_timestamp,order_approved_at,order_estimated_delivery_date,order_status,order_item_id,product_id,price,freight_value,seller_id,payment_sequential,payment_type,payment_installments,payment_value,product_category_name
4541,2e7a8482f6fb09756ca50c10d7bfc047,08c5351a6aca1c1589a38f244edeee9d,b7d76e111c89f7ebf14761390f0f7d17,boa vista,RR,2016-09-04 21:15:19,2016-10-07 13:18:03,2016-10-20 00:00:00,shipped,1.0,c1488892604e4ba5cff5b4eb4d595400,39.99,31.67,1554a68530182680ad5c8b042c3ab563,1.0,credit_card,1.0,136.23,furniture_decor
4541,2e7a8482f6fb09756ca50c10d7bfc047,08c5351a6aca1c1589a38f244edeee9d,b7d76e111c89f7ebf14761390f0f7d17,boa vista,RR,2016-09-04 21:15:19,2016-10-07 13:18:03,2016-10-20 00:00:00,shipped,2.0,f293394c72c9b5fafd7023301fc21fc2,32.9,31.67,1554a68530182680ad5c8b042c3ab563,1.0,credit_card,1.0,136.23,furniture_decor
4396,e5fa5a7210941f7d56d0208e4e071d35,683c54fc24d40ee9f8a6fc179fd9856c,4854e9b3feff728c13ee5fc7d1547e92,passo fundo,RS,2016-09-05 00:15:34,2016-10-07 13:17:15,2016-10-28 00:00:00,canceled,1.0,f3c2d01a84c947b078e32bbef0718962,59.5,15.56,a425f92c199eb576938df686728acd20,1.0,credit_card,3.0,75.06,telephony
10071,809a282bbd5dbcabb6f2f724fca862ec,622e13439d6b5a0b486c435618b2679e,009b0127b727ab0ba422f6d9604487c7,sao jose dos campos,SP,2016-09-13 15:24:19,2016-10-07 13:16:46,2016-09-30 00:00:00,canceled,,,,,,1.0,credit_card,2.0,40.95,
83078,71303d7e93b399f5bcd537d124c0bcfa,b106b360fe2ef8849fbbd056f777b4d5,0eb1ee9dba87f5b36b4613a65074337c,sao paulo,SP,2016-10-02 22:07:52,2016-10-06 15:50:56,2016-10-25 00:00:00,canceled,1.0,d2998d7ced12f83f9b832f33cf6507b6,100.0,9.34,25e6ffe976bd75618accfe16cefcbd0d,1.0,credit_card,1.0,109.34,baby
92636,65d1e226dfaeb8cdc42f665422522d14,70fc57eeae292675927697fe03ad3ff5,b8b8726af116a5cfb35b0315ecef9172,rio de janeiro,RJ,2016-10-03 21:01:41,2016-10-04 10:18:57,2016-11-25 00:00:00,canceled,1.0,9c7bdf67b06b419aefb93cfdfc96c55d,21.5,14.11,ed49da7cadefc454d6a67de249eab240,1.0,credit_card,1.0,35.61,sports_leisure
76582,1aecadf4362edaca7fa033e882076c8d,e81a9f176936e3124dfd90c483bf3289,823c47d4abda1f8ce7568145f76c2b85,sumare,SP,2016-10-04 10:05:45,2016-10-04 10:26:40,2016-11-24 00:00:00,canceled,,,,,,1.0,credit_card,3.0,50.74,
77055,620b0acb9258b51defbc51804c5298d5,9012f48ac2c416c82819101da4e4b75e,89ff26f9d000b4a6d0f6e8c513f1cf08,sinop,MT,2016-10-04 11:44:01,2016-10-05 08:45:09,2016-12-06 00:00:00,canceled,,,,,,1.0,credit_card,10.0,451.44,
78824,dd359d3c294458c6d642b2eea9212bf5,5c58d1ea5a893380ecdd96dd6dfd5ec5,2ad9e4ed11e15401527b7e30080ce45f,sao jose dos campos,SP,2016-10-04 13:02:10,2016-10-05 03:08:27,2016-11-24 00:00:00,invoiced,1.0,f9bcf9d8e89d012d7dc24fe4de0abd80,164.0,13.2,897060da8b9a21f655304d50fd935913,1.0,boleto,1.0,177.2,computers_accessories
24222,711b9be9c346d9ecdb9d38a5e1e7e39b,81e4aed5ab4253757305267b80712689,d7afcd4b6f0d645a8efa24bef0b66ca0,jaguariuna,SP,2016-10-04 13:38:37,2016-10-04 14:08:38,2016-11-24 00:00:00,invoiced,1.0,d6f3bd7b1fc04fb1a2effb51ae44ab17,189.9,12.87,4b1eaadf791bdbbad8c4a35b65236d52,1.0,credit_card,10.0,202.77,consoles_games
